TimeFrame,DateTime,Year_Quarter,Time_Period,Year,Quarter,Location Id,Territorial_Authority,Dwelling Type,Number Of Beds,Median Rent,Geometric Mean Rent,Upper Quartile Rent,Lower Quartile Rent,Active Bonds,Total Bonds,Closed Bonds
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,124800.0,Auckland,House,3,588.0,561.0,600.0,551.0,153,12,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,124900.0,Auckland,House,3,540.0,537.0,575.0,500.0,183,21,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,125000.0,Auckland,House,3,550.0,549.0,560.0,520.0,66,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,125200.0,Auckland,House,3,633.0,646.0,699.0,580.0,138,15,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,125400.0,Auckland,House,3,645.0,636.0,661.0,618.0,93,6,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,125500.0,Auckland,House,3,670.0,711.0,750.0,650.0,90,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,125600.0,Auckland,House,3,600.0,612.0,630.0,590.0,93,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,125800.0,Auckland,House,3,620.0,608.0,635.0,575.0,72,9,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,126000.0,Auckland,House,3,635.0,647.0,693.0,598.0,33,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,126200.0,Auckland,House,3,600.0,626.0,668.0,588.0,114,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,126300.0,Auckland,House,3,735.0,717.0,759.0,696.0,36,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,126400.0,Auckland,House,3,540.0,527.0,559.0,503.0,186,18,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,126500.0,Auckland,House,3,690.0,649.0,745.0,655.0,99,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,126600.0,Auckland,House,3,750.0,730.0,750.0,675.0,129,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,126700.0,Auckland,House,3,545.0,563.0,555.0,530.0,153,9,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,126900.0,Auckland,House,3,585.0,584.0,626.0,555.0,69,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,127000.0,Auckland,House,3,590.0,603.0,640.0,553.0,159,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,127100.0,Auckland,House,3,600.0,613.0,645.0,580.0,72,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,127300.0,Auckland,House,3,600.0,625.0,660.0,575.0,63,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,127700.0,Auckland,House,3,550.0,548.0,575.0,525.0,144,12,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,127800.0,Auckland,House,3,573.0,536.0,575.0,495.0,60,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,127900.0,Auckland,House,3,573.0,563.0,608.0,515.0,75,6,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,128100.0,Auckland,House,3,660.0,648.0,683.0,580.0,60,9,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,128200.0,Auckland,House,3,740.0,831.0,863.0,729.0,57,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,128300.0,Auckland,House,3,500.0,520.0,550.0,480.0,177,12,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,128500.0,Auckland,House,3,545.0,541.0,580.0,524.0,114,18,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,128800.0,Auckland,House,3,750.0,752.0,805.0,693.0,90,12,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,128900.0,Auckland,House,3,515.0,528.0,555.0,500.0,165,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,129000.0,Auckland,House,3,535.0,547.0,550.0,520.0,114,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,129100.0,Auckland,House,3,550.0,542.0,560.0,530.0,177,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,129200.0,Auckland,House,3,760.0,765.0,810.0,738.0,75,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,129300.0,Auckland,House,3,713.0,722.0,745.0,679.0,69,12,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,129400.0,Auckland,House,3,695.0,666.0,774.0,661.0,45,9,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,129500.0,Auckland,House,3,568.0,566.0,593.0,538.0,93,6,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,129600.0,Auckland,House,3,585.0,583.0,648.0,550.0,150,9,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,129900.0,Auckland,House,3,765.0,727.0,815.0,640.0,99,9,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,130100.0,Auckland,House,3,580.0,571.0,580.0,550.0,129,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,130200.0,Auckland,House,3,1200.0,1231.0,1250.0,1075.0,45,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,130300.0,Auckland,House,3,913.0,1055.0,1135.0,884.0,90,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,130500.0,Auckland,House,3,545.0,556.0,605.0,530.0,108,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,130600.0,Auckland,House,3,625.0,605.0,650.0,575.0,138,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,130700.0,Auckland,House,3,715.0,707.0,809.0,608.0,69,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,130800.0,Auckland,House,3,565.0,560.0,593.0,515.0,72,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,130900.0,Auckland,House,3,570.0,581.0,595.0,570.0,135,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,131000.0,Auckland,House,3,546.0,528.0,573.0,490.0,87,9,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,131100.0,Auckland,House,3,630.0,629.0,708.0,568.0,99,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,131200.0,Auckland,House,3,980.0,925.0,1050.0,850.0,144,21,18
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,131400.0,Auckland,House,3,845.0,859.0,1028.0,703.0,30,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,131500.0,Auckland,House,3,533.0,534.0,559.0,500.0,159,18,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,131600.0,Auckland,House,3,900.0,812.0,1000.0,775.0,78,9,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,131700.0,Auckland,House,3,550.0,569.0,610.0,540.0,129,12,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,131800.0,Auckland,House,3,1008.0,1067.0,1166.0,873.0,96,15,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,131900.0,Auckland,House,3,620.0,651.0,675.0,615.0,54,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,132000.0,Auckland,House,3,555.0,567.0,618.0,525.0,159,24,21
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,132100.0,Auckland,House,3,870.0,671.0,940.0,558.0,66,9,15
